sequence,frame_range,event_file,input_state,scheduler,total_throughput_bps,avg_delay_sec,fairness,congestion_avg_throughput_bps,normal_avg_throughput_bps,empty_avg_throughput_bps,mean_active_users_per_slot,mean_requested_rb_per_slot,mean_allocated_rb_per_slot,mean_unserved_users_per_slot
00,001100_001400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001100_001400\00_f1100_1400\final_event_scorevote.txt,Normal,MaxThroughput,43337217.01998982,98.5215029034058,0.4841358577121464,53427.21993476945,337009.10403194855,981973.6677878909,120.0,2398.5733333333333,8.153333333333334,119.0
00,001100_001400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001100_001400\00_f1100_1400\final_event_scorevote.txt,Normal,PF,61581348.61752774,64.31815025067522,0.9990155235938463,495086.4711452698,516808.4252475187,531606.4291001349,120.0,2536.9366666666665,12.0,108.41
00,001100_001400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001100_001400\00_f1100_1400\final_event_scorevote.txt,Normal,Ours,61715986.063031435,64.16545853894391,0.5109480585675868,1316040.157110965,268921.4835054351,0.0,120.0,2608.4366666666665,12.0,108.0
00,001100_001400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001100_001400\00_f1100_1400\final_event_scorevote.txt,Normal,OursPF,61628823.410852656,64.22190412755724,0.999470025766052,524802.5431830492,512992.12647603627,496151.30976008263,120.0,2545.7066666666665,12.0,108.00333333333333
00,001200_001500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001200_001500\00_f1200_1500\final_event_scorevote.txt,Normal,RR,61541750.02148806,59.380613340544066,0.9991668596776362,485314.3612806522,516549.3488598965,529608.0570800444,120.0,2515.733333333333,12.0,108.0
00,001200_001500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001200_001500\00_f1200_1500\final_event_scorevote.txt,Normal,MaxThroughput,45130578.805796675,87.40339448146699,0.4972341508003051,95655.05765052565,276603.34670773643,1043269.4347641248,120.0,2357.0233333333335,8.47,119.0
00,001200_001500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001200_001500\00_f1200_1500\final_event_scorevote.txt,Normal,PF,61851031.82135452,59.011304845064956,0.9990811613269449,493590.64996105747,517424.9651412245,532102.3581674829,120.0,2513.6366666666668,12.0,108.35
00,001200_001500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001200_001500\00_f1200_1500\final_event_scorevote.txt,Normal,Ours,62155333.08125644,58.669327511647744,0.5390666433808318,1458034.7225896728,376585.9797591311,0.0,120.0,2584.8,12.0,108.0
00,001200_001500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001200_001500\00_f1200_1500\final_event_scorevote.txt,Normal,OursPF,61938980.377485946,58.86682467176332,0.9994639376157743,530278.9449439207,517206.56161912146,496898.3790820249,120.0,2520.73,12.0,108.00333333333333
00,001300_001600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001300_001600\00_f1300_1600\final_event_scorevote.txt,Normal,RR,61748414.4048905,55.0119868808731,0.9992940558364726,485666.17371419846,515712.6787610741,530085.1225825547,120.0,2484.213333333333,12.0,108.0
00,001300_001600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001300_001600\00_f1300_1600\final_event_scorevote.txt,Normal,MaxThroughput,46856581.23871961,78.13869075791763,0.49486679240596926,39054.53172829766,255417.11726009223,1020212.9296273635,120.0,2290.326666666667,8.773333333333333,119.0
00,001300_001600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001300_001600\00_f1300_1600\final_event_scorevote.txt,Normal,PF,62040229.372535005,54.68736879827987,0.9988984864185136,485646.42217926215,518152.39848839096,534096.3658415935,120.0,2481.53,12.0,108.25
00,001300_001600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001300_001600\00_f1300_1600\final_event_scorevote.txt,Normal,Ours,62410282.77091572,54.2837278081931,0.5610900921707973,1551598.393970376,467962.4684859653,0.0,120.0,2562.6833333333334,12.0,108.0
00,001300_001600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001300_001600\00_f1300_1600\final_event_scorevote.txt,Normal,OursPF,62177534.045213565,54.489082760250355,0.9995444905591461,532806.8307176966,519737.696092076,503846.7432278028,120.0,2488.9066666666668,12.0,108.00333333333333
00,001400_001700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001400_001700\00_f1400_1700\final_event_scorevote.txt,Normal,RR,61584910.96627028,59.41229464448967,0.9993244808686502,487230.76780389034,516236.5330260797,529883.6481820067,120.0,2527.7766666666666,12.0,108.0
00,001400_001700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001400_001700\00_f1400_1700\final_event_scorevote.txt,Normal,MaxThroughput,43297507.83154778,91.77435183480117,0.4872764480939065,63076.6110661657,279897.09906755836,1072290.776371448,120.0,2360.7433333333333,8.183333333333334,119.0
00,001400_001700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001400_001700\00_f1400_1700\final_event_scorevote.txt,Normal,PF,61891851.69972912,59.04858122046386,0.9990298103047087,494276.40017234144,517526.6966135776,532910.2705783425,120.0,2525.536666666667,12.0,108.34666666666666
00,001400_001700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001400_001700\00_f1400_1700\final_event_scorevote.txt,Normal,Ours,62324101.61422133,58.54792115086961,0.5673577605631299,1456765.510787445,391753.4060208023,0.0,120.0,2587.5266666666666,12.0,108.0
00,001400_001700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001400_001700\00_f1400_1700\final_event_scorevote.txt,Normal,OursPF,61969513.51577324,58.91534943412784,0.9995546601614199,530244.2347794356,516788.1196064654,498585.9387378553,120.0,2531.59,12.0,108.0
00,001500_001800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001500_001800\00_f1500_1800\final_event_scorevote.txt,Normal,RR,61624133.57052666,56.8724065911759,0.9991392320558469,486150.5636382738,515734.2143999203,530094.6216431648,120.0,2476.6566666666668,12.0,108.0
00,001500_001800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001500_001800\00_f1500_1800\final_event_scorevote.txt,Normal,MaxThroughput,43763147.315056786,87.17399504277822,0.4507448774242627,9821.213470655532,228133.277889163,966351.6037506422,120.0,2281.0666666666666,8.23,119.0
00,001500_001800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001500_001800\00_f1500_1800\final_event_scorevote.txt,Normal,PF,61952142.48768044,56.50429815123859,0.999188442812133,495744.97615687794,516122.75651233876,532884.8480425247,120.0,2474.1566666666668,12.0,108.31333333333333
00,001500_001800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001500_001800\00_f1500_1800\final_event_scorevote.txt,Normal,Ours,62031137.36915481,56.41765332453931,0.513989429342618,1488664.100737998,408703.8684144241,0.0,120.0,2567.39,12.0,108.0
00,001500_001800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001500_001800\00_f1500_1800\final_event_scorevote.txt,Normal,OursPF,62066119.32779584,56.326157365699785,0.9994492643938567,532943.4720270005,518770.81405234744,501103.5901936276,120.0,2483.3366666666666,12.0,108.00666666666666
00,001600_001900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001600_001900\00_f1600_1900\final_event_scorevote.txt,Normal,RR,61360669.74600579,62.11171318935025,0.999017232434511,485494.563229933,516875.88104895415,528919.5138620816,120.0,2517.4366666666665,12.0,108.0
00,001600_001900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001600_001900\00_f1600_1900\final_event_scorevote.txt,Normal,MaxThroughput,45458912.55218544,90.31711033876785,0.5088411229211985,36653.20609855655,322253.7386991924,989926.7772340369,120.0,2348.33,8.54,119.0
00,001600_001900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001600_001900\00_f1600_1900\final_event_scorevote.txt,Normal,PF,61671602.80354727,61.74546362243986,0.9988340277098359,492213.6899634993,516840.5250945148,533777.2575352085,120.0,2513.8933333333334,12.0,108.32333333333334
00,001600_001900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001600_001900\00_f1600_1900\final_event_scorevote.txt,Normal,Ours,61796466.36064005,61.58337169684633,0.5071581501067587,1369653.0614299076,309057.82862302725,0.0,120.0,2594.3166666666666,12.0,108.0
00,001600_001900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001600_001900\00_f1600_1900\final_event_scorevote.txt,Normal,OursPF,61777997.07883364,61.55724221653934,0.9994357410536345,527863.9953639793,514988.63033251255,497297.3472015614,120.0,2523.0866666666666,12.0,108.00333333333333
00,001700_002000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001700_002000\00_f1700_2000\final_event_scorevote.txt,Normal,RR,61309810.835095316,62.79637343162815,0.9989964544916728,486216.9606701392,516256.4502408782,529602.3032597771,120.0,2514.91,12.0,108.0
00,001700_002000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001700_002000\00_f1700_2000\final_event_scorevote.txt,Normal,MaxThroughput,44244461.8996169,93.96122276503479,0.4688277731611789,66920.86956859357,273006.5206014337,1026274.0314554228,120.0,2351.0,8.336666666666666,119.0
00,001700_002000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\00\001700_002000\00_f1700_2000\final_event_scorevote.txt,Normal,PF,61647270.50494857,62.399246834200724,0.9987914228513052,492603.22755334,518639.95729699364,528792.0815097543,120.0,2513.7466666666664,12.0,108.42333333333333
